"Individual","LID","geladintestivirus_1","geladintestivirus_2","geladintestivirus_3","geladintestivirus_4","geladintestivirus_5","geladintestivirus_6","gel_1_pres_10","gel_2_pres_10","gel_3_pres_10","gel_4_pres_10","gel_5_pres_10","gel_6_pres_10","SampleDate","SampleType","NbReads","Sex","AgeDay","AgeMonth","AgeYear","SampleMonth","SampleYear","Season","Humidity","Temp","Rain90","PairedSample","LID_PairedSample","richness.10","any_intest","wean_date","weaned","mat_date","dob","avg_wean","weaned2","plot_crass_10","dev_stage"
"CAS","LID_108310",0,13,0,0,0,16.4,0,1,0,0,0,1,"2017-08-29","adult",16380459,"F",5473,179.442623,14.99452055,8,2017,"ColdWet","Wet","Cold",1301.6,1,"LID_108304",2,1,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"intestivirid","adult"
"CAS","LID_108307",0,0,0,20.7,0,0,0,0,0,1,0,0,"2017-10-03","adult",7612666,"F",5508,180.5901639,15.09041096,10,2017,"ColdDry","Dry","Cold",1077.7,1,"LID_108394",1,1,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"intestivirid","adult"
"CAS","LID_105873",0,0,0,0,66.3,76.5,0,0,0,0,1,1,"2017-12-02","adult",9862665,"F",5568,182.557377,15.25479452,12,2017,"ColdDry","Dry","Cold",398.3,1,"LID_105871",2,1,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"intestivirid","adult"
"CAS","LID_105994",0,0,0,0,0,0,0,0,0,0,0,0,"2018-04-02","adult",1318492,"F",5689,186.5245902,15.58630137,4,2018,"HotDry","Dry","Hot",21.8,1,"LID_106631",0,0,2004-03-04,1,2007-04-18,2002-09-04,2004-03-04,3,"no intestivirid","adult"
"CLU","LID_105866",0,0,0,0,0,0,0,0,0,0,0,0,"2018-05-30","infant",6188234,"M",25,0.819672131,0.068493151,5,2018,"HotDry","Dry","Hot",145.7,1,"LID_105982",0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_106603",0,0,0,0,0,0,0,0,0,0,0,0,"2019-09-11","infant",51085785,"M",494,16.19672131,1.353424658,9,2019,"ColdWet","Wet","Cold",1080.17,0,NA,0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_106269",0,12.2,0,0,0,0,0,1,0,0,0,0,"2018-11-12","infant",14903044,"M",191,6.262295082,0.523287671,11,2018,"ColdDry","Dry","Cold",688.5,1,"LID_105948",1,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"CLU","LID_105939",14.5,0,0,0,0,0,1,0,0,0,0,0,"2018-08-02","infant",22702793,"M",89,2.918032787,0.243835616,8,2018,"ColdWet","Wet","Cold",931.9,1,"LID_105990",1,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"CLU","LID_107891",0,0,0,0,0,0,0,0,0,0,0,0,"2019-04-04","infant",16762169,"M",334,10.95081967,0.915068493,4,2019,"HotDry","Dry","Hot",17.3,1,"LID_107896",0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_106261",0,0,15.2,0,0,0,0,0,1,0,0,0,"2019-12-21","infant",8488418,"M",595,19.50819672,1.630136986,12,2019,"ColdDry","Dry","Cold",467.4809524,0,NA,1,1,NA,1,NA,2018-05-05,2019-11-05,2,"intestivirid","weaned"
"CLU","LID_106267",0,0,0,22.4,58.7,70.2,0,0,0,1,1,1,"2019-07-11","infant",13262479,"M",432,14.16393443,1.183561644,7,2019,"ColdWet","Wet","Cold",722.07,0,NA,3,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"CLU","LID_107898",0,0,0,0,0,0,0,0,0,0,0,0,"2020-03-07","infant",8905414,"M",672,22.03278689,1.84109589,3,2020,"HotDry","Dry","Hot",10.4,0,NA,0,0,NA,1,NA,2018-05-05,2019-11-05,2,"no intestivirid","weaned"
"CLU","LID_107895",0,0,0,0,0,0,0,0,0,0,0,0,"2019-06-18","infant",8117967,"M",409,13.40983607,1.120547945,6,2019,"ColdWet","Wet","Cold",505.6,0,NA,0,0,NA,0,NA,2018-05-05,2019-11-05,1,"no intestivirid","unweaned"
"CLU","LID_107899",0,0,19.1,0,0,0,0,0,1,0,0,0,"2019-05-03","infant",8145123,"M",363,11.90163934,0.994520548,5,2019,"HotDry","Dry","Hot",69.9,0,NA,1,1,NA,0,NA,2018-05-05,2019-11-05,1,"intestivirid","unweaned"
"COC","LID_105990",0,0,0,43.6,0,15.1,0,0,0,1,0,1,"2018-08-02","adult",6089926,"F",5280,173.1147541,14.46575342,8,2018,"ColdWet","Wet","Cold",931.9,1,"LID_105939",2,1,2005-08-17,1,2008-09-30,2004-02-17,2005-08-17,3,"intestivirid","adult"
"COC","LID_105982",0,97.3,0,0,0,0,0,1,0,0,0,0,"2018-05-30","adult",5568571,"F",5216,171.0163934,14.29041096,5,2018,"HotDry","Dry","Hot",145.7,1,"LID_105866",1,1,2005-08-17,1,2008-09-30,2004-02-17,2005-08-17,3,"intestivirid","adult"
"COC","LID_105948",0,0,0,0,35.5,46.1,0,0,0,0,1,1,"2018-11-12","adult",15610787,"F",5382,176.4590164,14.74520548,11,2018,"ColdDry","Dry","Cold",688.5,1,"LID_106269",2,1,2005-08-17,1,2008-09-30,2004-02-17,2005-08-17,3,"intestivirid","adult"
"COC","LID_107896",0,0,15.7,0,0,0,0,0,1,0,0,0,"2019-04-04","adult",9982644,"F",5525,181.147541,15.1369863,4,2019,"HotDry","Dry","Hot",17.3,1,"LID_107891",1,1,2005-08-17,1,2008-09-30,2004-02-17,2005-08-17,3,"intestivirid","adult"
"COU","LID_106002",12.9,23.2,0,11.3,0,12.7,1,1,0,1,0,1,"2018-06-02","infant",41671211,"F",766,25.1147541,2.098630137,6,2018,"ColdWet","Wet","Cold",235.1,0,NA,4,1,2017-10-27,1,2021-05-23,2016-04-27,2017-10-27,2,"intestivirid","weaned"
"COU","LID_108395",95.7,0,53,15,0,22.8,1,0,1,1,0,1,"2017-10-03","infant",10506686,"F",524,17.18032787,1.435616438,10,2017,"ColdDry","Dry","Cold",1077.7,0,NA,4,1,2017-10-27,0,2021-05-23,2016-04-27,2017-10-27,1,"intestivirid","unweaned"
"COU","LID_106263",0,0,0,0,0,0,0,0,0,0,0,0,"2019-11-09","infant",5425788,"F",1291,42.32786885,3.536986301,11,2019,"ColdDry","Dry","Cold",683.4666667,0,NA,0,0,2017-10-27,1,2021-05-23,2016-04-27,2017-10-27,2,"no intestivirid","weaned"
"COU","LID_105924",0,0,0,0,0,72.3,0,0,0,0,0,1,"2018-03-02","infant",10407335,"F",674,22.09836066,1.846575342,3,2018,"HotDry","Dry","Hot",2.2,0,NA,1,1,2017-10-27,1,2021-05-23,2016-04-27,2017-10-27,2,"intestivirid","weaned"
"COU","LID_108303",0,0,0,0,0,0,0,0,0,0,0,0,"2017-08-03","infant",9592573,"F",463,15.18032787,1.268493151,8,2017,"ColdWet","Wet","Cold",1030.9,0,NA,0,0,2017-10-27,0,2021-05-23,2016-04-27,2017-10-27,1,"no intestivirid","unweaned"
"COU","LID_106300",0,0,10.2,0,0,0,0,0,1,0,0,0,"2018-10-01","infant",8938288,"F",887,29.08196721,2.430136986,10,2018,"ColdDry","Dry","Cold",1093.9,0,NA,1,1,2017-10-27,1,2021-05-23,2016-04-27,2017-10-27,2,"intestivirid","weaned"
"COU","LID_106288",0,0,0,0,0,0,0,0,0,0,0,0,"2016-05-27","infant",1709062,"F",30,0.983606557,0.082191781,5,2016,"HotDry","Dry","Hot",333.5,0,NA,0,0,2017-10-27,0,2021-05-23,2016-04-27,2017-10-27,1,"no intestivirid","unweaned"
"COU","LID_105960",0,0,0,0,54.5,14.5,0,0,0,0,1,1,"2017-06-06","infant",8419972,"F",405,13.27868852,1.109589041,6,2017,"ColdWet","Wet","Cold",495.9,0,NA,2,1,2017-10-27,0,2021-05-23,2016-04-27,2017-10-27,1,"intestivirid","unweaned"
"COU","LID_108418",0,18.3,0,0,58.1,99.6,0,1,0,0,1,1,"2017-06-01","infant",11735321,"F",400,13.1147541,1.095890411,6,2017,"ColdWet","Wet","Cold",428.8,0,NA,3,1,2017-10-27,0,2021-05-23,2016-04-27,2017-10-27,1,"intestivirid","unweaned"
"COU","LID_105967",0,0,0,0,0,0,0,0,0,0,0,0,"2017-12-01","infant",8667976,"F",583,19.1147541,1.597260274,12,2017,"ColdDry","Dry","Cold",403.4,0,NA,0,0,2017-10-27,1,2021-05-23,2016-04-27,2017-10-27,2,"no intestivirid","weaned"
"COW","LID_106285",96.2,99.1,0,0,0,0,1,1,0,0,0,0,"2018-07-03","infant",11650083,"F",458,15.01639344,1.254794521,7,2018,"ColdWet","Wet","Cold",509.3,0,NA,2,1,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"intestivirid","unweaned"
"COW","LID_105979",0,75.7,0,12.9,0,0,0,1,0,1,0,0,"2018-02-05","infant",11941469,"F",310,10.16393443,0.849315068,2,2018,"HotDry","Dry","Hot",21.8,0,NA,2,1,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"intestivirid","unweaned"
"COW","LID_106611",0,0,30.2,0,0,0,0,0,1,0,0,0,"2018-09-03","infant",16932539,"F",520,17.04918033,1.424657534,9,2018,"ColdWet","Wet","Cold",1204.5,0,NA,1,1,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"intestivirid","unweaned"
"COW","LID_105871",100,0,0,0,0,0,1,0,0,0,0,0,"2017-12-02","infant",7589399,"F",245,8.032786885,0.671232877,12,2017,"ColdDry","Dry","Cold",398.3,1,"LID_105873",1,1,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"intestivirid","unweaned"
"COW","LID_106631",0,0,0,0,0,0,0,0,0,0,0,0,"2018-04-02","infant",8302237,"F",366,12,1.002739726,4,2018,"HotDry","Dry","Hot",21.8,1,"LID_105994",0,0,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"no intestivirid","unweaned"
"COW","LID_106632",76.2,0,53.7,14.5,0,0,1,0,1,1,0,0,"2019-09-24","infant",36246484,"F",906,29.70491803,2.482191781,9,2019,"ColdWet","Wet","Cold",1067.5,0,NA,3,1,2018-10-01,1,2022-03-21,2017-04-01,2018-10-01,2,"intestivirid","weaned"
"COW","LID_106272",0,0,0,0,34.4,0,0,0,0,0,1,0,"2018-11-12","infant",6621232,"F",590,19.3442623,1.616438356,11,2018,"ColdDry","Dry","Cold",688.5,0,NA,1,1,2018-10-01,1,2022-03-21,2017-04-01,2018-10-01,2,"intestivirid","weaned"
"COW","LID_108304",0,0,0,85.9,0,0,0,0,0,1,0,0,"2017-08-29","infant",5655089,"F",150,4.918032787,0.410958904,8,2017,"ColdWet","Wet","Cold",1301.6,1,"LID_108310",1,1,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"intestivirid","unweaned"
"COW","LID_108394",0,0,0,0,0,0,0,0,0,0,0,0,"2017-10-03","infant",9197987,"F",185,6.06557377,0.506849315,10,2017,"ColdDry","Dry","Cold",1077.7,1,"LID_108307",0,0,2018-10-01,0,2022-03-21,2017-04-01,2018-10-01,1,"no intestivirid","unweaned"
"COW","LID_107901",0,0,20,0,0,0,0,0,1,0,0,0,"2019-04-04","infant",13866037,"F",733,24.03278689,2.008219178,4,2019,"HotDry","Dry","Hot",17.3,0,NA,1,1,2018-10-01,1,2022-03-21,2017-04-01,2018-10-01,2,"intestivirid","weaned"
"CRY","LID_106298",0,33.6,0,0,0,0,0,1,0,0,0,0,"2017-06-05","infant",9277250,"F",454,14.8852459,1.243835616,6,2017,"ColdWet","Wet","Cold",488.7,0,NA,1,1,2017-09-08,0,2021-05-23,2016-03-08,2017-09-08,1,"intestivirid","unweaned"
"CRY","LID_105999",0,0,0,0,0,14.6,0,0,0,0,0,1,"2018-06-02","infant",5065967,"F",816,26.75409836,2.235616438,6,2018,"ColdWet","Wet","Cold",235.1,0,NA,1,1,2017-09-08,1,2021-05-23,2016-03-08,2017-09-08,2,"intestivirid","weaned"
"CRY","LID_106628",0,0,0,0,0,0,0,0,0,0,0,0,"2016-03-10","infant",6131618,"F",2,0.06557377,0.005479452,3,2016,"HotDry","Dry","Hot",26.1,0,NA,0,0,2017-09-08,0,2021-05-23,2016-03-08,2017-09-08,1,"no intestivirid","unweaned"
"CRY","LID_108298",0,27.6,0,0,0,0,0,1,0,0,0,0,"2017-06-29","infant",6429360,"F",478,15.67213115,1.309589041,6,2017,"ColdWet","Wet","Cold",693.5,0,NA,1,1,2017-09-08,0,2021-05-23,2016-03-08,2017-09-08,1,"intestivirid","unweaned"
"CRY","LID_106624",0,0,0,0,16.2,17.1,0,0,0,0,1,1,"2019-08-20","infant",17571766,"F",1260,41.31147541,3.452054795,8,2019,"ColdWet","Wet","Cold",1168.17,0,NA,2,1,2017-09-08,1,2021-05-23,2016-03-08,2017-09-08,2,"intestivirid","weaned"
"CRY","LID_106622",0,100,21.5,16,0,0,0,1,1,1,0,0,"2018-03-03","infant",22626102,"F",725,23.7704918,1.98630137,3,2018,"HotDry","Dry","Hot",2.2,0,NA,3,1,2017-09-08,1,2021-05-23,2016-03-08,2017-09-08,2,"intestivirid","weaned"
"CRY","LID_106010",0,0,23.2,0,14.9,12.2,0,0,1,0,1,1,"2017-12-02","infant",11186099,"F",634,20.78688525,1.736986301,12,2017,"ColdDry","Dry","Cold",398.3,0,NA,3,1,2017-09-08,1,2021-05-23,2016-03-08,2017-09-08,2,"intestivirid","weaned"
"CRY","LID_107904",0,0,22.3,20.3,19,15.2,0,0,1,1,1,1,"2019-02-06","infant",41369147,"F",1065,34.91803279,2.917808219,2,2019,"HotDry","Dry","Hot",57.4,0,NA,4,1,2017-09-08,1,2021-05-23,2016-03-08,2017-09-08,2,"intestivirid","weaned"
"CRY","LID_106295",0,0,0,0,0,0,0,0,0,0,0,0,"2018-09-03","infant",5022169,"F",909,29.80327869,2.490410959,9,2018,"ColdWet","Wet","Cold",1204.5,0,NA,0,0,2017-09-08,1,2021-05-23,2016-03-08,2017-09-08,2,"no intestivirid","weaned"
"CYR","LID_108396",34.9,15.3,0,0,79.2,73.4,1,1,0,0,1,1,"2017-10-03","infant",11242574,"M",625,20.49180328,1.712328767,10,2017,"ColdDry","Dry","Cold",1077.7,0,NA,4,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_106602",0,0,0,0,0,0,0,0,0,0,0,0,"2016-05-31","infant",29444203,"M",135,4.426229508,0.369863014,5,2016,"HotDry","Dry","Hot",353.3,0,NA,0,0,2017-03-30,0,NA,2016-01-17,2017-07-17,1,"no intestivirid","unweaned"
"CYR","LID_105996",0,14.1,0,0,10.7,24.5,0,1,0,0,1,1,"2018-08-02","infant",12751002,"M",928,30.42622951,2.542465753,8,2018,"ColdWet","Wet","Cold",931.9,0,NA,3,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_108393",0,0,16.3,0,27.2,23.4,0,0,1,0,1,1,"2017-08-02","infant",25233932,"M",563,18.45901639,1.542465753,8,2017,"ColdWet","Wet","Cold",1028.5,0,NA,3,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_106268",0,0,0,0,0,97.7,0,0,0,0,0,1,"2019-07-05","infant",9368938,"M",1265,41.47540984,3.465753425,7,2019,"ColdWet","Wet","Cold",608.37,0,NA,1,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_105961",0,0,0,15.1,0,0,0,0,0,1,0,0,"2017-06-06","infant",25320753,"M",506,16.59016393,1.38630137,6,2017,"ColdWet","Wet","Cold",495.9,0,NA,1,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_105959",0,0,0,0,83.5,17.5,0,0,0,0,1,1,"2018-02-05","infant",7177810,"M",750,24.59016393,2.054794521,2,2018,"HotDry","Dry","Hot",21.8,0,NA,2,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_105964",0,0,14,0,0,0,0,0,1,0,0,0,"2017-12-01","infant",8249744,"M",684,22.42622951,1.873972603,12,2017,"ColdDry","Dry","Cold",403.4,0,NA,1,1,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"intestivirid","weaned"
"CYR","LID_106591",0,0,0,0,0,0,0,0,0,0,0,0,"2018-05-02","infant",14105406,"M",836,27.40983607,2.290410959,5,2018,"HotDry","Dry","Hot",63.1,0,NA,0,0,2017-03-30,1,NA,2016-01-17,2017-07-17,2,"no intestivirid","weaned"
"CYR","LID_106291",0,0,0,0,0,0,0,0,0,0,0,0,"2016-03-22","infant",17900303,"M",65,2.131147541,0.178082192,3,2016,"HotDry","Dry","Hot",65.5,0,NA,0,0,2017-03-30,0,NA,2016-01-17,2017-07-17,1,"no intestivirid","unweaned"
"DAS","LID_108408",0,0,0,0,16.1,23.2,0,0,0,0,1,1,"2017-08-09","infant",16254837,"F",593,19.44262295,1.624657534,8,2017,"ColdWet","Wet","Cold",1139.2,0,NA,2,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_106259",0,12.4,0,0,0,0,0,1,0,0,0,0,"2018-11-13","infant",13959275,"F",1054,34.55737705,2.887671233,11,2018,"ColdDry","Dry","Cold",678,0,NA,1,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_107893",15.9,0,0,0,0,0,1,0,0,0,0,0,"2019-06-06","infant",10406214,"F",1259,41.27868852,3.449315068,6,2019,"ColdWet","Wet","Cold",274.8,0,NA,1,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_108287",0,0,0,0,16.5,25,0,0,0,0,1,1,"2017-06-16","infant",10749494,"F",539,17.67213115,1.476712329,6,2017,"ColdWet","Wet","Cold",597,0,NA,2,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_105984",0,0,15.2,97.7,0,0,0,0,1,1,0,0,"2017-11-03","infant",9024682,"F",679,22.26229508,1.860273973,11,2017,"ColdDry","Dry","Cold",864.5,0,NA,2,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_105872",0,0,0,0,0,0,0,0,0,0,0,0,"2016-06-01","infant",12118097,"F",159,5.213114754,0.435616438,6,2016,"ColdWet","Wet","Cold",356.5,1,"LID_105988",0,0,2017-02-17,0,2020-09-12,2015-12-25,2017-06-25,1,"no intestivirid","unweaned"
"DAS","LID_105944",0,0,0,16.1,17.1,0,0,0,0,1,1,0,"2018-06-02","infant",21068509,"F",890,29.18032787,2.438356164,6,2018,"ColdWet","Wet","Cold",235.1,0,NA,2,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_108407",0,19.5,0,0,0,0,0,1,0,0,0,0,"2016-02-29","infant",14486906,"F",66,2.163934426,0.180821918,2,2016,"HotDry","Dry","Hot",37.7,0,NA,1,1,2017-02-17,0,2020-09-12,2015-12-25,2017-06-25,1,"intestivirid","unweaned"
"DAS","LID_108404",28.8,11.3,12.4,14.3,0,0,1,1,1,1,0,0,"2017-10-09","infant",28559592,"F",654,21.44262295,1.791780822,10,2017,"ColdDry","Dry","Cold",1058.5,0,NA,4,1,2017-02-17,1,2020-09-12,2015-12-25,2017-06-25,2,"intestivirid","weaned"
"DAS","LID_108419",0,0,0,0,0,0,0,0,0,0,0,0,"2016-04-06","infant",7918958,"F",103,3.37704918,0.282191781,4,2016,"HotDry","Dry","Hot",64.4,1,"LID_106636",0,0,2017-02-17,0,2020-09-12,2015-12-25,2017-06-25,1,"no intestivirid","unweaned"
"DAX","LID_106001",0,28.1,21.5,0,0,0,0,1,1,0,0,0,"2018-03-28","adult",11143122,"M",3703,121.4098361,10.14520548,3,2018,"HotDry","Dry","Hot",5.2,0,NA,2,1,NA,1,NA,2008-02-06,2009-08-06,3,"intestivirid","adult"
"DDA","LID_107892",0,0,0,0,0,0,0,0,0,0,0,0,"2020-01-07","infant",6985428,"M",1310,42.95081967,3.589041096,1,2020,"ColdDry","Dry","Cold",383.4166667,0,NA,0,0,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"no intestivirid","weaned"
"DDA","LID_108425",0,0,0,0,0,0,0,0,0,0,0,0,"2017-10-03","infant",14499216,"M",484,15.86885246,1.326027397,10,2017,"ColdDry","Dry","Cold",1077.7,0,NA,0,0,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"no intestivirid","weaned"
"DDA","LID_105993",0,93.2,0,0,0,0,0,1,0,0,0,0,"2018-01-01","infant",10404790,"M",574,18.81967213,1.57260274,1,2018,"ColdDry","Dry","Cold",273.8,0,NA,1,1,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"intestivirid","weaned"
"DDA","LID_105926",0,14.3,22.2,0,0,0,0,1,1,0,0,0,"2018-06-01","infant",23524021,"M",725,23.7704918,1.98630137,6,2018,"ColdWet","Wet","Cold",195.1,0,NA,2,1,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"intestivirid","weaned"
"DDA","LID_106282",0,0,0,0,0,0,0,0,0,0,0,0,"2017-06-12","infant",10093584,"M",371,12.16393443,1.016438356,6,2017,"ColdWet","Wet","Cold",529.1,0,NA,0,0,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"no intestivirid","weaned"
"DDA","LID_106608",0,0,0,0,0,0,0,0,0,0,0,0,"2018-09-07","infant",7060825,"M",823,26.98360656,2.254794521,9,2018,"ColdWet","Wet","Cold",1198.2,0,NA,0,0,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"no intestivirid","weaned"
"DDA","LID_105953",0,0,0,0,0,0,0,0,0,0,0,0,"2017-11-22","infant",8044026,"M",534,17.50819672,1.463013699,11,2017,"ColdDry","Dry","Cold",593.4,0,NA,0,0,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"no intestivirid","weaned"
"DDA","LID_105937",0,66.3,27.9,0,11.6,12.3,0,1,1,0,1,1,"2019-01-03","infant",15524521,"M",941,30.85245902,2.578082192,1,2019,"ColdDry","Dry","Cold",220.9,0,NA,4,1,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"intestivirid","weaned"
"DDA","LID_107903",0,98.9,0,0,0,11.7,0,1,0,0,0,1,"2019-05-08","infant",16874508,"M",1066,34.95081967,2.920547945,5,2019,"HotDry","Dry","Hot",70.4,0,NA,2,1,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"intestivirid","weaned"
"DDA","LID_106635",0,11.8,100,27.1,0,0,0,1,1,1,0,0,"2017-06-02","infant",15208843,"M",361,11.83606557,0.989041096,6,2017,"ColdWet","Wet","Cold",428.8,0,NA,3,1,2017-02-21,1,NA,2016-06-06,2017-12-06,2,"intestivirid","weaned"
"DEA","LID_108297",0,0,0,0,0,0,0,0,0,0,0,0,"2016-04-28","infant",7876398,"M",10,0.327868852,0.02739726,4,2016,"HotDry","Dry","Hot",83.9,0,NA,0,0,2017-02-24,0,NA,2016-04-18,2017-10-18,1,"no intestivirid","unweaned"
"DEA","LID_108311",0,11.9,44.6,82.1,0,14,0,1,1,1,0,1,"2017-10-02","infant",6833568,"M",532,17.44262295,1.457534247,10,2017,"ColdDry","Dry","Cold",1086.6,0,NA,4,1,2017-02-24,1,NA,2016-04-18,2017-10-18,2,"intestivirid","weaned"
